tau,acf
9.011200033307853,1.000140618005253
9.83040003633584,1.00002088882669
10.649600039363827,1.0000980593700868
11.468800042391813,0.9999981772979637
12.2880000454198,0.9999546229243765
13.107200048447787,1.0000190156120532
14.745600054503761,1.000100825418617
16.384000060559735,0.9999892746540829
18.022400066615706,0.9999237855656025
19.66080007267168,0.9999489423821133
21.299200078727655,1.0000811405796979
22.937600084783625,1.0000267969309076
24.5760000908396,1.0001100232143842
26.214400096895574,0.9999960264152281
29.491200109007522,0.9999570241709974
32.76800012111947,1.000068617862621
36.04480013323141,1.000096740921204
39.32160014534336,1.0001208026125874
42.59840015745531,1.0001313748218208
45.87520016956725,1.0000290337062243
49.1520001816792,1.0000221679888335
52.42880019379115,1.0000706872463085
58.982400218015044,1.0000509041044785
65.53600024223894,1.0000383538313784
72.08960026646282,0.9999938763668434
78.64320029068672,1.000011488133882
85.19680031491062,0.999969086545951
91.7504003391345,1.0000009654718676
98.3040003633584,1.000097684951881
104.8576003875823,0.999924585388679
117.96480043603009,0.9999725261739891
131.07200048447788,1.0000041770930022
144.17920053292565,1.000002576271695
157.28640058137344,0.9999538500924585
170.39360062982124,0.9999732207870634
183.500800678269,1.0000425022392792
196.6080007267168,1.0000157552694067
209.7152007751646,1.0000192929293341
235.92960087206018,1.0000002955768426
262.14400096895577,1.0000120388673417
288.3584010658513,0.9999942319310956
314.5728011627469,0.9999784946801865
340.7872012596425,0.9999655678039148
367.001601356538,0.9999591972530574
393.2160014534336,0.9999965645512772
419.4304015503292,1.000012974285459
471.85920174412036,1.0000057134331677
524.2880019379115,1.0000032667635828
576.7168021317026,1.0000239020915715
629.1456023254938,1.000006653407373
681.574402519285,1.0000255991423934
734.003202713076,1.00000701672473
786.4320029068672,0.9999986686016346
838.8608031006584,0.9999947181438859
943.7184034882407,1.000015008487165
1048.576003875823,0.9999876408098205
1153.4336042634052,1.000007535829748
1258.2912046509875,1.0000092580197228
1363.14880503857,1.000018318789015
1468.006405426152,1.0000098293929638
1572.8640058137344,0.9999879413790904
1677.7216062013167,0.9999995040766892
1887.4368069764814,0.9999972788942191
2097.152007751646,1.0000176492383397
2306.8672085268104,1.0000120814746247
2516.582409301975,0.999998016614827
2726.29761007714,0.9999948117612056
2936.012810852304,1.0000002494695581
3145.7280116274687,0.9999995626864331
3355.4432124026334,1.0000058482549952
3774.873613952963,1.0000042755236822
4194.304015503292,1.000003815399628
4613.734417053621,1.0000069183673552
5033.16481860395,0.9999917884084367
5452.59522015428,0.9999998572138102
5872.025621704608,1.0000001133206444
6291.4560232549375,1.0000106206702022
6710.886424805267,1.0000022406494482
7549.747227905926,1.0000040055585662
8388.608031006584,1.0000019049411981
9227.468834107241,0.9999951986493545
10066.3296372079,1.0000017941355375
10905.19044030856,1.000005199415388
11744.051243409216,0.9999957235786716
12582.912046509875,1.0000014939129536
13421.772849610534,1.0000036063990083
15099.494455811851,0.9999920672539931
16777.21606201317,0.9999929363922216
18454.937668214483,0.9999901943787112
20132.6592744158,0.9999833136177046
21810.38088061712,0.9999962154192936
23488.102486818432,0.9999977428422661
25165.82409301975,1.0000099928951842
26843.545699221067,0.9999735323311185
