;03_DM100_1_1_1_1;03_DM100_1_2_1_1;03_DM100_1_3_1_1;03_DM100_1_4_1_1;03_DM100_1_5_1_1;03_DM100_1_6_1_1;03_DM100_1_7_1_1;03_DM100_1_9_1_1;03_DM100_1_10_1_1;03_DM100_1_11_1_1;03_DM100_1_12_1_1;03_DM100_1_13_1_1;03_DM100_1_14_1_1;03_DM100_1_15_1_1;03_DM100_1_16_1_1;03_DM100_1_17_1_1;03_DM100_1_18_1_1;03_DM100_1_19_1_1;03_DM100_1_20_1_1
8.0000000000e-06;1.0239713420e+00;1.0237661862e+00;1.0243137175e+00;1.0244708664e+00;1.0242366474e+00;1.0247527812e+00;1.0245455391e+00;1.0249514630e+00;1.0247709994e+00;1.0244868567e+00;1.0245625084e+00;1.0247829263e+00;1.0248770268e+00;1.0247527863e+00;1.0243998893e+00;1.0250504795e+00;1.0248572350e+00;1.0246893346e+00;1.0246664283e+00
8.8000000000e-06;1.0236256647e+00;1.0239226666e+00;1.0240661715e+00;1.0238785833e+00;1.0241058747e+00;1.0240782127e+00;1.0241500855e+00;1.0243540551e+00;1.0243330995e+00;1.0243985112e+00;1.0241900340e+00;1.0245014254e+00;1.0246456223e+00;1.0241582044e+00;1.0240757118e+00;1.0239029012e+00;1.0242908837e+00;1.0240603513e+00;1.0244639285e+00
9.6000000000e-06;1.0236154389e+00;1.0234215948e+00;1.0239061227e+00;1.0237027219e+00;1.0234662768e+00;1.0240100380e+00;1.0240049057e+00;1.0241291495e+00;1.0241308336e+00;1.0243673609e+00;1.0236227291e+00;1.0244407391e+00;1.0239768222e+00;1.0244900526e+00;1.0238762125e+00;1.0241718682e+00;1.0245712509e+00;1.0239540115e+00;1.0244987793e+00
1.0400000000e-05;1.0236080109e+00;1.0232199327e+00;1.0235781596e+00;1.0234805341e+00;1.0236158181e+00;1.0237577299e+00;1.0238043286e+00;1.0238599420e+00;1.0238655853e+00;1.0237016707e+00;1.0235413583e+00;1.0241419730e+00;1.0242726590e+00;1.0237782688e+00;1.0239127966e+00;1.0237914883e+00;1.0238899776e+00;1.0237748507e+00;1.0241035182e+00
1.1200000000e-05;1.0232385909e+00;1.0231492876e+00;1.0235159562e+00;1.0235696047e+00;1.0230412458e+00;1.0234291790e+00;1.0237079902e+00;1.0237109402e+00;1.0234636623e+00;1.0233170764e+00;1.0231780246e+00;1.0238773947e+00;1.0235442504e+00;1.0234202763e+00;1.0235790623e+00;1.0235232660e+00;1.0234408119e+00;1.0233299860e+00;1.0235223185e+00
1.2000000000e-05;1.0226201624e+00;1.0228985051e+00;1.0233642764e+00;1.0232139350e+00;1.0229908247e+00;1.0231656119e+00;1.0238356782e+00;1.0231737297e+00;1.0234243137e+00;1.0235794966e+00;1.0231945995e+00;1.0236032734e+00;1.0233657097e+00;1.0232948205e+00;1.0233606210e+00;1.0234174584e+00;1.0233412916e+00;1.0234016767e+00;1.0239208344e+00
1.2800000000e-05;1.0228899087e+00;1.0227747807e+00;1.0231040383e+00;1.0232643716e+00;1.0230675423e+00;1.0233452731e+00;1.0231209863e+00;1.0231367504e+00;1.0231988065e+00;1.0230171646e+00;1.0228507717e+00;1.0233158053e+00;1.0232563312e+00;1.0230840773e+00;1.0230740415e+00;1.0234572118e+00;1.0233708791e+00;1.0231047046e+00;1.0237468936e+00
1.4400000000e-05;1.0223144845e+00;1.0222974154e+00;1.0227049127e+00;1.0223556618e+00;1.0225245517e+00;1.0229065505e+00;1.0228003421e+00;1.0228173840e+00;1.0230654377e+00;1.0229524319e+00;1.0224390191e+00;1.0228206395e+00;1.0230980685e+00;1.0226719206e+00;1.0226185893e+00;1.0228643316e+00;1.0229479624e+00;1.0226486200e+00;1.0230359491e+00
1.6000000000e-05;1.0217715198e+00;1.0218840156e+00;1.0224192899e+00;1.0221923250e+00;1.0220965055e+00;1.0225202060e+00;1.0224873918e+00;1.0223969760e+00;1.0224892010e+00;1.0225355938e+00;1.0221874397e+00;1.0223506121e+00;1.0225573519e+00;1.0223669361e+00;1.0223874418e+00;1.0224355889e+00;1.0223212072e+00;1.0224181465e+00;1.0228485764e+00
1.7600000000e-05;1.0216087634e+00;1.0214741772e+00;1.0220846835e+00;1.0218952512e+00;1.0218747958e+00;1.0217778210e+00;1.0222698049e+00;1.0221675976e+00;1.0222553402e+00;1.0223168968e+00;1.0220000051e+00;1.0222636021e+00;1.0223088234e+00;1.0223346269e+00;1.0221345503e+00;1.0220853992e+00;1.0220458538e+00;1.0220308442e+00;1.0221867716e+00
1.9200000000e-05;1.0212926102e+00;1.0215157613e+00;1.0216506718e+00;1.0214266186e+00;1.0214684410e+00;1.0217920843e+00;1.0218589199e+00;1.0218933989e+00;1.0218165820e+00;1.0215848156e+00;1.0217286217e+00;1.0220691322e+00;1.0222913836e+00;1.0217812507e+00;1.0216248450e+00;1.0217892656e+00;1.0218660157e+00;1.0219101093e+00;1.0217673820e+00
2.0800000000e-05;1.0209108519e+00;1.0211866563e+00;1.0213390849e+00;1.0212289248e+00;1.0212895911e+00;1.0212181883e+00;1.0217458163e+00;1.0216970358e+00;1.0214094789e+00;1.0214740631e+00;1.0213062473e+00;1.0215469139e+00;1.0215449154e+00;1.0212511470e+00;1.0215036237e+00;1.0214116170e+00;1.0214809285e+00;1.0215783375e+00;1.0219219068e+00
2.2400000000e-05;1.0205267655e+00;1.0207055119e+00;1.0211123473e+00;1.0209596527e+00;1.0208718422e+00;1.0209295438e+00;1.0213760752e+00;1.0215970811e+00;1.0213071755e+00;1.0213227216e+00;1.0210949533e+00;1.0212350935e+00;1.0213877797e+00;1.0213663327e+00;1.0212057666e+00;1.0213817683e+00;1.0211734410e+00;1.0212982946e+00;1.0213739461e+00
2.4000000000e-05;1.0203466747e+00;1.0205014179e+00;1.0208716777e+00;1.0208563670e+00;1.0206497804e+00;1.0208103230e+00;1.0212549357e+00;1.0211864641e+00;1.0213165346e+00;1.0210214457e+00;1.0207845455e+00;1.0213686780e+00;1.0211220255e+00;1.0210140620e+00;1.0210704230e+00;1.0207492401e+00;1.0209316149e+00;1.0210160836e+00;1.0211234972e+00
2.5600000000e-05;1.0200988520e+00;1.0202564213e+00;1.0205087835e+00;1.0205405857e+00;1.0204796038e+00;1.0207192169e+00;1.0208195838e+00;1.0208580499e+00;1.0208708261e+00;1.0207229137e+00;1.0206638229e+00;1.0208605121e+00;1.0209099962e+00;1.0208370699e+00;1.0205564992e+00;1.0207855954e+00;1.0209338352e+00;1.0207220475e+00;1.0209302193e+00
2.8800000000e-05;1.0196921275e+00;1.0197771997e+00;1.0203234979e+00;1.0198867713e+00;1.0200093311e+00;1.0201677893e+00;1.0203355457e+00;1.0203904963e+00;1.0204181114e+00;1.0203817309e+00;1.0201730771e+00;1.0203060731e+00;1.0204526410e+00;1.0204770846e+00;1.0201082282e+00;1.0203478021e+00;1.0204889952e+00;1.0203281373e+00;1.0204250720e+00
3.2000000000e-05;1.0193484674e+00;1.0193514273e+00;1.0196299099e+00;1.0196543214e+00;1.0197188762e+00;1.0196508422e+00;1.0201761289e+00;1.0199998137e+00;1.0199163621e+00;1.0198861057e+00;1.0195922925e+00;1.0200839270e+00;1.0199925750e+00;1.0199076891e+00;1.0197297188e+00;1.0199667106e+00;1.0199843078e+00;1.0198197701e+00;1.0199852552e+00
3.5200000000e-05;1.0191034208e+00;1.0191887424e+00;1.0193376065e+00;1.0192445609e+00;1.0192037678e+00;1.0192803085e+00;1.0195775270e+00;1.0196997890e+00;1.0195086926e+00;1.0197383474e+00;1.0194239083e+00;1.0195794016e+00;1.0196450689e+00;1.0195964593e+00;1.0194888299e+00;1.0194737510e+00;1.0195818889e+00;1.0195390211e+00;1.0196829470e+00
3.8400000000e-05;1.0186247638e+00;1.0186782750e+00;1.0189254269e+00;1.0190038182e+00;1.0189309579e+00;1.0190915093e+00;1.0191863032e+00;1.0192514061e+00;1.0191542812e+00;1.0192874949e+00;1.0190067300e+00;1.0192338502e+00;1.0193580330e+00;1.0192335280e+00;1.0191341756e+00;1.0191497806e+00;1.0191707675e+00;1.0191367558e+00;1.0193506492e+00
4.1600000000e-05;1.0181793267e+00;1.0184351562e+00;1.0188104599e+00;1.0185452029e+00;1.0183795213e+00;1.0187522013e+00;1.0188659951e+00;1.0191411524e+00;1.0189895200e+00;1.0188440096e+00;1.0184882843e+00;1.0187919794e+00;1.0189609494e+00;1.0187749522e+00;1.0186553673e+00;1.0189050379e+00;1.0187736846e+00;1.0188005174e+00;1.0190464920e+00
4.4800000000e-05;1.0180419633e+00;1.0180209568e+00;1.0185159215e+00;1.0183760758e+00;1.0182720543e+00;1.0184296287e+00;1.0187805634e+00;1.0187606770e+00;1.0186421982e+00;1.0186137586e+00;1.0181437998e+00;1.0184423877e+00;1.0184820469e+00;1.0187523630e+00;1.0182056373e+00;1.0185014661e+00;1.0185138993e+00;1.0184203768e+00;1.0186393900e+00
4.8000000000e-05;1.0177833470e+00;1.0177908317e+00;1.0181183417e+00;1.0178706071e+00;1.0179410836e+00;1.0180722898e+00;1.0183100114e+00;1.0184346561e+00;1.0183054635e+00;1.0180581938e+00;1.0179885050e+00;1.0182974514e+00;1.0184073008e+00;1.0182641608e+00;1.0181011539e+00;1.0182631153e+00;1.0182637804e+00;1.0181662489e+00;1.0184838282e+00
5.1200000000e-05;1.0175214976e+00;1.0175151453e+00;1.0178329246e+00;1.0175348571e+00;1.0176920477e+00;1.0177822702e+00;1.0179988791e+00;1.0181848955e+00;1.0180415829e+00;1.0179193691e+00;1.0176408090e+00;1.0180865686e+00;1.0179852793e+00;1.0179004780e+00;1.0178182171e+00;1.0178900545e+00;1.0178083126e+00;1.0178751523e+00;1.0181402403e+00
5.7600000000e-05;1.0169116539e+00;1.0169311239e+00;1.0172561357e+00;1.0172007175e+00;1.0169291847e+00;1.0173000716e+00;1.0176015811e+00;1.0176055043e+00;1.0176285594e+00;1.0174330249e+00;1.0170922094e+00;1.0175944257e+00;1.0175035759e+00;1.0174613307e+00;1.0171404528e+00;1.0173579382e+00;1.0173972131e+00;1.0173916029e+00;1.0176236383e+00
6.4000000000e-05;1.0165027373e+00;1.0165244901e+00;1.0167765092e+00;1.0167992428e+00;1.0165291950e+00;1.0168480172e+00;1.0169586097e+00;1.0170869313e+00;1.0170045996e+00;1.0170517599e+00;1.0166079794e+00;1.0168947795e+00;1.0169829367e+00;1.0168916457e+00;1.0167058290e+00;1.0168837662e+00;1.0168146544e+00;1.0168495021e+00;1.0172096324e+00
7.0400000000e-05;1.0159849420e+00;1.0160847054e+00;1.0163058614e+00;1.0162052401e+00;1.0162399399e+00;1.0164853796e+00;1.0166608521e+00;1.0166570544e+00;1.0165384905e+00;1.0164560449e+00;1.0161371317e+00;1.0166201430e+00;1.0166244695e+00;1.0163572412e+00;1.0162792715e+00;1.0164403227e+00;1.0163902937e+00;1.0164379589e+00;1.0166382636e+00
7.6800000000e-05;1.0156285054e+00;1.0157094259e+00;1.0159255601e+00;1.0156533579e+00;1.0157657443e+00;1.0159847368e+00;1.0162182895e+00;1.0162650134e+00;1.0161078425e+00;1.0160440431e+00;1.0156705984e+00;1.0161470528e+00;1.0161225959e+00;1.0160432329e+00;1.0158973863e+00;1.0160380469e+00;1.0159427543e+00;1.0159182989e+00;1.0161131763e+00
8.3200000000e-05;1.0151934202e+00;1.0151076791e+00;1.0155012458e+00;1.0154547049e+00;1.0153722124e+00;1.0156750497e+00;1.0157713381e+00;1.0159735886e+00;1.0157157036e+00;1.0156425209e+00;1.0153638195e+00;1.0158222335e+00;1.0156380770e+00;1.0155483115e+00;1.0155271175e+00;1.0156453774e+00;1.0156218937e+00;1.0156371740e+00;1.0157521632e+00
8.9600000000e-05;1.0149092677e+00;1.0149243798e+00;1.0151537964e+00;1.0150900432e+00;1.0148669908e+00;1.0151901768e+00;1.0153435669e+00;1.0156923512e+00;1.0154139419e+00;1.0152114191e+00;1.0150892268e+00;1.0155590559e+00;1.0154008491e+00;1.0151811020e+00;1.0150265416e+00;1.0152223316e+00;1.0150595465e+00;1.0152483767e+00;1.0154511396e+00
9.6000000000e-05;1.0145366415e+00;1.0145777231e+00;1.0149759722e+00;1.0147134919e+00;1.0145600145e+00;1.0148039562e+00;1.0149690352e+00;1.0151118919e+00;1.0151035567e+00;1.0148885081e+00;1.0146805026e+00;1.0150778376e+00;1.0149978039e+00;1.0148559055e+00;1.0147391133e+00;1.0148834268e+00;1.0148286063e+00;1.0148547708e+00;1.0150288434e+00
1.0240000000e-04;1.0142230779e+00;1.0141597614e+00;1.0146192813e+00;1.0143345186e+00;1.0143101696e+00;1.0145991751e+00;1.0147378284e+00;1.0147899863e+00;1.0145933538e+00;1.0146852248e+00;1.0143851568e+00;1.0145953896e+00;1.0146366996e+00;1.0145982616e+00;1.0143549638e+00;1.0146307984e+00;1.0144405519e+00;1.0144598350e+00;1.0147251475e+00
1.1520000000e-04;1.0135155968e+00;1.0135994634e+00;1.0138286427e+00;1.0138069476e+00;1.0136124532e+00;1.0138744959e+00;1.0141667711e+00;1.0143445911e+00;1.0140210124e+00;1.0139283682e+00;1.0137106521e+00;1.0141673551e+00;1.0139494161e+00;1.0140205372e+00;1.0137401485e+00;1.0139142822e+00;1.0139219299e+00;1.0139510829e+00;1.0139626583e+00
