;02_FL100_2_1_1_1;02_FL100_2_2_1_1;02_FL100_2_3_1_1;02_FL100_2_4_1_1;02_FL100_2_5_1_1;02_FL100_2_6_1_1;02_FL100_2_7_1_1;02_FL100_2_8_1_1;02_FL100_2_9_1_1;02_FL100_2_10_1_1;02_FL100_2_11_1_1;02_FL100_2_12_1_1;02_FL100_2_13_1_1;02_FL100_2_14_1_1;02_FL100_2_15_1_1;02_FL100_2_16_1_1;02_FL100_2_17_1_1;02_FL100_2_18_1_1
2.8800000000e-05;1.0311914789e+00;1.0303548409e+00;1.0235918300e+00;1.0273661242e+00;1.0322530901e+00;1.0330465901e+00;1.0412193111e+00;1.0334297543e+00;1.0452419069e+00;1.0209911119e+00;1.0345954552e+00;1.0364095030e+00;1.0405929677e+00;1.0437252923e+00;1.0318370632e+00;1.0351461923e+00;1.0385834452e+00;1.0411378677e+00
3.2000000000e-05;1.0307613335e+00;1.0295133698e+00;1.0227943085e+00;1.0267062673e+00;1.0315997997e+00;1.0322358848e+00;1.0409935546e+00;1.0329824686e+00;1.0444106688e+00;1.0208424276e+00;1.0340068096e+00;1.0354817211e+00;1.0400619959e+00;1.0430148137e+00;1.0311150525e+00;1.0347130346e+00;1.0376147058e+00;1.0404353776e+00
3.5200000000e-05;1.0298300002e+00;1.0289904688e+00;1.0226878888e+00;1.0261497779e+00;1.0314262196e+00;1.0313079827e+00;1.0401585007e+00;1.0321300712e+00;1.0433140062e+00;1.0204119511e+00;1.0334353869e+00;1.0348264465e+00;1.0392913884e+00;1.0423884481e+00;1.0306959797e+00;1.0339404683e+00;1.0367765084e+00;1.0393210927e+00
3.8400000000e-05;1.0294126746e+00;1.0285139384e+00;1.0221599652e+00;1.0257835972e+00;1.0304906513e+00;1.0309601029e+00;1.0394283624e+00;1.0318016927e+00;1.0433195082e+00;1.0199877652e+00;1.0334303983e+00;1.0347292626e+00;1.0384236885e+00;1.0418417674e+00;1.0295793052e+00;1.0332127270e+00;1.0360343629e+00;1.0390924778e+00
4.1600000000e-05;1.0290208694e+00;1.0279041368e+00;1.0219871526e+00;1.0251760073e+00;1.0301064298e+00;1.0307015187e+00;1.0388801993e+00;1.0312152566e+00;1.0427494241e+00;1.0196045547e+00;1.0330278127e+00;1.0341882831e+00;1.0379547200e+00;1.0414389140e+00;1.0295134212e+00;1.0324124701e+00;1.0354909810e+00;1.0382849949e+00
4.4800000000e-05;1.0282748966e+00;1.0275944994e+00;1.0218151991e+00;1.0244260340e+00;1.0296612042e+00;1.0297699802e+00;1.0382473045e+00;1.0306037064e+00;1.0421848124e+00;1.0191435646e+00;1.0326974532e+00;1.0341175822e+00;1.0373891612e+00;1.0409515204e+00;1.0290644072e+00;1.0320134441e+00;1.0351117423e+00;1.0379582526e+00
4.8000000000e-05;1.0278082358e+00;1.0271557009e+00;1.0209877679e+00;1.0245332134e+00;1.0290465411e+00;1.0293462017e+00;1.0378537912e+00;1.0301727496e+00;1.0414307599e+00;1.0190127558e+00;1.0325127862e+00;1.0331855811e+00;1.0362643839e+00;1.0406769948e+00;1.0285514636e+00;1.0318120563e+00;1.0346698702e+00;1.0373797116e+00
5.1200000000e-05;1.0272872637e+00;1.0269982948e+00;1.0209259687e+00;1.0239881618e+00;1.0284542036e+00;1.0288725058e+00;1.0371774815e+00;1.0295226695e+00;1.0413762210e+00;1.0187122948e+00;1.0317824499e+00;1.0328093714e+00;1.0365721690e+00;1.0402232310e+00;1.0279973729e+00;1.0313560359e+00;1.0335058310e+00;1.0370993988e+00
5.7600000000e-05;1.0267120993e+00;1.0261954738e+00;1.0206782456e+00;1.0231217084e+00;1.0274762106e+00;1.0278780562e+00;1.0365839056e+00;1.0284746581e+00;1.0406834049e+00;1.0183271509e+00;1.0315953496e+00;1.0321745225e+00;1.0353250643e+00;1.0394711214e+00;1.0271996840e+00;1.0304408838e+00;1.0323569861e+00;1.0361722768e+00
6.4000000000e-05;1.0255471986e+00;1.0255381524e+00;1.0195701021e+00;1.0226499527e+00;1.0270062077e+00;1.0270948742e+00;1.0359677249e+00;1.0279216947e+00;1.0399370840e+00;1.0176536603e+00;1.0310053292e+00;1.0314037261e+00;1.0342201199e+00;1.0390884464e+00;1.0265670296e+00;1.0298371399e+00;1.0319851458e+00;1.0351272640e+00
