;03_DM100_3_1_1_1;03_DM100_3_2_1_1;03_DM100_3_3_1_1;03_DM100_3_4_1_1;03_DM100_3_5_1_1;03_DM100_3_6_1_1;03_DM100_3_7_1_1;03_DM100_3_8_1_1;03_DM100_3_9_1_1;03_DM100_3_10_1_1;03_DM100_3_11_1_1;03_DM100_3_12_1_1;03_DM100_3_13_1_1;03_DM100_3_14_1_1;03_DM100_3_15_1_1;03_DM100_3_16_1_1;03_DM100_3_17_1_1;03_DM100_3_18_1_1;03_DM100_3_19_1_1;03_DM100_3_20_1_1
6.4000000000e-06;1.0244972397e+00;1.0246219980e+00;1.0244637149e+00;1.0248652068e+00;1.0248867155e+00;1.0242994065e+00;1.0247340519e+00;1.0246501075e+00;1.0249114134e+00;1.0243259564e+00;1.0243765229e+00;1.0247143011e+00;1.0251474073e+00;1.0249181935e+00;1.0248517184e+00;1.0245775292e+00;1.0249389484e+00;1.0245313610e+00;1.0248275578e+00;1.0247112065e+00
7.2000000000e-06;1.0239127210e+00;1.0242769490e+00;1.0242169035e+00;1.0247674475e+00;1.0243564599e+00;1.0245684561e+00;1.0245252419e+00;1.0241936353e+00;1.0246048612e+00;1.0241978050e+00;1.0243915063e+00;1.0248151736e+00;1.0247777662e+00;1.0246107140e+00;1.0247207424e+00;1.0243831990e+00;1.0244216235e+00;1.0250064185e+00;1.0245135211e+00;1.0242410130e+00
8.0000000000e-06;1.0240619945e+00;1.0242768381e+00;1.0237881640e+00;1.0242898265e+00;1.0244776405e+00;1.0240099891e+00;1.0242284525e+00;1.0243896928e+00;1.0243674759e+00;1.0238100291e+00;1.0239056763e+00;1.0242898426e+00;1.0243789799e+00;1.0243316856e+00;1.0243587422e+00;1.0244114590e+00;1.0246317246e+00;1.0243493235e+00;1.0243426894e+00;1.0242681810e+00
8.8000000000e-06;1.0234607454e+00;1.0235359385e+00;1.0234956069e+00;1.0235414750e+00;1.0237620133e+00;1.0238908553e+00;1.0241769427e+00;1.0235902448e+00;1.0240916180e+00;1.0236594143e+00;1.0237082341e+00;1.0240366355e+00;1.0241690362e+00;1.0238935433e+00;1.0241911234e+00;1.0237253100e+00;1.0242645147e+00;1.0240138309e+00;1.0240528370e+00;1.0239029288e+00
9.6000000000e-06;1.0233643609e+00;1.0239114128e+00;1.0234731271e+00;1.0235394982e+00;1.0237374863e+00;1.0237763441e+00;1.0231744063e+00;1.0235724571e+00;1.0237621955e+00;1.0236068676e+00;1.0233316525e+00;1.0238031241e+00;1.0237121403e+00;1.0239162062e+00;1.0237040256e+00;1.0235975604e+00;1.0242275524e+00;1.0238336355e+00;1.0238219971e+00;1.0239859719e+00
1.0400000000e-05;1.0232571224e+00;1.0234968467e+00;1.0235471572e+00;1.0233477684e+00;1.0240932763e+00;1.0234606010e+00;1.0235942414e+00;1.0233783738e+00;1.0234453049e+00;1.0231550496e+00;1.0233259927e+00;1.0237651232e+00;1.0235489828e+00;1.0235187074e+00;1.0234933241e+00;1.0229740774e+00;1.0234959044e+00;1.0239474235e+00;1.0237713435e+00;1.0234567221e+00
1.1200000000e-05;1.0226624594e+00;1.0231898895e+00;1.0228198679e+00;1.0230551963e+00;1.0233524443e+00;1.0229637124e+00;1.0229189298e+00;1.0230922851e+00;1.0227972523e+00;1.0229514014e+00;1.0230030508e+00;1.0235176474e+00;1.0230905158e+00;1.0232858469e+00;1.0235994215e+00;1.0227877870e+00;1.0233328408e+00;1.0233333858e+00;1.0229408200e+00;1.0233678738e+00
1.2000000000e-05;1.0224808718e+00;1.0231007673e+00;1.0227399933e+00;1.0226553737e+00;1.0231115313e+00;1.0229812733e+00;1.0233245858e+00;1.0229765978e+00;1.0233977793e+00;1.0227311720e+00;1.0229898100e+00;1.0229938362e+00;1.0231651486e+00;1.0231338296e+00;1.0228699207e+00;1.0228585116e+00;1.0235947248e+00;1.0231846085e+00;1.0231468558e+00;1.0229157924e+00
1.2800000000e-05;1.0226834061e+00;1.0231182021e+00;1.0227216019e+00;1.0226046206e+00;1.0228320359e+00;1.0226838985e+00;1.0223846729e+00;1.0227935378e+00;1.0229967465e+00;1.0224054958e+00;1.0227335826e+00;1.0228322249e+00;1.0228746102e+00;1.0222035982e+00;1.0231664618e+00;1.0226413923e+00;1.0229535874e+00;1.0230098011e+00;1.0228286957e+00;1.0226732920e+00
1.4400000000e-05;1.0219531971e+00;1.0224400117e+00;1.0222010577e+00;1.0223644336e+00;1.0226335343e+00;1.0224786685e+00;1.0223533721e+00;1.0223871435e+00;1.0225290466e+00;1.0220541239e+00;1.0224667690e+00;1.0228036587e+00;1.0228685770e+00;1.0224340367e+00;1.0222807548e+00;1.0222229764e+00;1.0225729904e+00;1.0223949518e+00;1.0224578205e+00;1.0223504357e+00
1.6000000000e-05;1.0217013369e+00;1.0221476929e+00;1.0217956755e+00;1.0219980429e+00;1.0221797860e+00;1.0221094205e+00;1.0219109708e+00;1.0220260112e+00;1.0218775881e+00;1.0218646552e+00;1.0218098405e+00;1.0219500877e+00;1.0223163654e+00;1.0221605964e+00;1.0224741514e+00;1.0222388772e+00;1.0222671896e+00;1.0223149467e+00;1.0220704384e+00;1.0222458625e+00
1.7600000000e-05;1.0214138740e+00;1.0216230562e+00;1.0213106356e+00;1.0215779017e+00;1.0219008551e+00;1.0218481471e+00;1.0215919449e+00;1.0216070189e+00;1.0216279226e+00;1.0215754196e+00;1.0214942365e+00;1.0215919794e+00;1.0220303675e+00;1.0217987864e+00;1.0217937088e+00;1.0215667221e+00;1.0218990581e+00;1.0215641699e+00;1.0215311901e+00;1.0218536649e+00
1.9200000000e-05;1.0212517804e+00;1.0214332410e+00;1.0213798099e+00;1.0214520969e+00;1.0215605798e+00;1.0214746243e+00;1.0211431464e+00;1.0212254200e+00;1.0215543415e+00;1.0213668055e+00;1.0213319666e+00;1.0213958168e+00;1.0217017655e+00;1.0213940952e+00;1.0214763013e+00;1.0212497363e+00;1.0217437004e+00;1.0217263727e+00;1.0214090468e+00;1.0215339952e+00
2.0800000000e-05;1.0208131107e+00;1.0209919838e+00;1.0210492911e+00;1.0212482107e+00;1.0214025268e+00;1.0212252392e+00;1.0211282228e+00;1.0210621955e+00;1.0213050823e+00;1.0206593198e+00;1.0210338546e+00;1.0211438277e+00;1.0214716498e+00;1.0211146564e+00;1.0210611841e+00;1.0210854221e+00;1.0212116627e+00;1.0210508572e+00;1.0212334991e+00;1.0212210809e+00
2.2400000000e-05;1.0205075546e+00;1.0209574901e+00;1.0208090513e+00;1.0209426264e+00;1.0210256109e+00;1.0206909278e+00;1.0211884889e+00;1.0209800860e+00;1.0208124697e+00;1.0206401676e+00;1.0210775778e+00;1.0208418256e+00;1.0210787590e+00;1.0208016735e+00;1.0211692027e+00;1.0207134990e+00;1.0214011278e+00;1.0209207152e+00;1.0208503329e+00;1.0208278166e+00
2.4000000000e-05;1.0203859478e+00;1.0205701622e+00;1.0202241992e+00;1.0206523176e+00;1.0207079863e+00;1.0208265290e+00;1.0208237942e+00;1.0204617288e+00;1.0206759179e+00;1.0203401059e+00;1.0203461537e+00;1.0206501577e+00;1.0209290051e+00;1.0206889369e+00;1.0208935576e+00;1.0204071331e+00;1.0210733211e+00;1.0207098739e+00;1.0204116566e+00;1.0207618328e+00
2.5600000000e-05;1.0202730061e+00;1.0204154735e+00;1.0202555486e+00;1.0204439690e+00;1.0206424713e+00;1.0203541221e+00;1.0203084617e+00;1.0203419064e+00;1.0204277274e+00;1.0199177994e+00;1.0205086847e+00;1.0203188989e+00;1.0207770312e+00;1.0204192966e+00;1.0203942335e+00;1.0199698342e+00;1.0206838753e+00;1.0204629322e+00;1.0203966741e+00;1.0205957258e+00
2.8800000000e-05;1.0196856141e+00;1.0199779621e+00;1.0196949110e+00;1.0197241896e+00;1.0201677913e+00;1.0200626587e+00;1.0197339023e+00;1.0199813623e+00;1.0198647454e+00;1.0195428752e+00;1.0197602275e+00;1.0199170522e+00;1.0200785200e+00;1.0199520205e+00;1.0199856872e+00;1.0198197517e+00;1.0202515340e+00;1.0202816971e+00;1.0198333604e+00;1.0199306006e+00
3.2000000000e-05;1.0192708253e+00;1.0196246712e+00;1.0192062408e+00;1.0193753448e+00;1.0196721493e+00;1.0195672347e+00;1.0195792880e+00;1.0193484203e+00;1.0195270931e+00;1.0192648130e+00;1.0191210453e+00;1.0195145303e+00;1.0193785065e+00;1.0195802360e+00;1.0196625163e+00;1.0194196999e+00;1.0197446468e+00;1.0196972285e+00;1.0195342794e+00;1.0193803621e+00
3.5200000000e-05;1.0190822859e+00;1.0190477135e+00;1.0188317403e+00;1.0191829036e+00;1.0193734472e+00;1.0192388011e+00;1.0189685096e+00;1.0188963841e+00;1.0190552125e+00;1.0188246261e+00;1.0188566063e+00;1.0191360094e+00;1.0193780692e+00;1.0191867008e+00;1.0192517808e+00;1.0189063513e+00;1.0192795025e+00;1.0192648192e+00;1.0191331044e+00;1.0191737218e+00
3.8400000000e-05;1.0185088562e+00;1.0188636455e+00;1.0183682758e+00;1.0187256501e+00;1.0189420910e+00;1.0189276180e+00;1.0186691322e+00;1.0185713175e+00;1.0188640435e+00;1.0184263563e+00;1.0186788264e+00;1.0189417860e+00;1.0189945400e+00;1.0187477514e+00;1.0187787720e+00;1.0187536311e+00;1.0188629020e+00;1.0187630005e+00;1.0187177467e+00;1.0190126110e+00
4.1600000000e-05;1.0183195450e+00;1.0186007680e+00;1.0180799837e+00;1.0183503299e+00;1.0184180576e+00;1.0183812307e+00;1.0184408678e+00;1.0184046807e+00;1.0186669935e+00;1.0181640189e+00;1.0182216988e+00;1.0185354656e+00;1.0186938180e+00;1.0184054052e+00;1.0184198474e+00;1.0183159032e+00;1.0185509918e+00;1.0185966316e+00;1.0184067507e+00;1.0185010458e+00
4.4800000000e-05;1.0179609369e+00;1.0181147936e+00;1.0178858991e+00;1.0181421020e+00;1.0184430590e+00;1.0181982775e+00;1.0179503157e+00;1.0180551819e+00;1.0182481204e+00;1.0178053457e+00;1.0180298086e+00;1.0182461471e+00;1.0184163390e+00;1.0180264288e+00;1.0181633577e+00;1.0179223433e+00;1.0184070078e+00;1.0181430138e+00;1.0180641815e+00;1.0181483793e+00
4.8000000000e-05;1.0175949344e+00;1.0178365839e+00;1.0175555407e+00;1.0176942948e+00;1.0180232199e+00;1.0178778811e+00;1.0177117156e+00;1.0176017408e+00;1.0179024536e+00;1.0175843538e+00;1.0176247594e+00;1.0179947526e+00;1.0180295411e+00;1.0179045912e+00;1.0179980145e+00;1.0176777794e+00;1.0180010592e+00;1.0178584505e+00;1.0178933440e+00;1.0179401924e+00
5.1200000000e-05;1.0175466112e+00;1.0175825392e+00;1.0172559794e+00;1.0173317215e+00;1.0176870182e+00;1.0176615251e+00;1.0173961067e+00;1.0173979743e+00;1.0177477655e+00;1.0172505166e+00;1.0175002036e+00;1.0176959393e+00;1.0178520647e+00;1.0175949053e+00;1.0176348863e+00;1.0174871219e+00;1.0177468398e+00;1.0176580888e+00;1.0174371350e+00;1.0176350887e+00
5.7600000000e-05;1.0169305868e+00;1.0170809482e+00;1.0168236548e+00;1.0168514417e+00;1.0171971185e+00;1.0170691093e+00;1.0169121280e+00;1.0169018306e+00;1.0170836031e+00;1.0167994213e+00;1.0168148884e+00;1.0171056220e+00;1.0172036273e+00;1.0168081453e+00;1.0170002396e+00;1.0168471896e+00;1.0171633546e+00;1.0170840926e+00;1.0169623024e+00;1.0170922361e+00
6.4000000000e-05;1.0163694260e+00;1.0166354427e+00;1.0162798517e+00;1.0163661992e+00;1.0166892491e+00;1.0165909684e+00;1.0165239015e+00;1.0163325622e+00;1.0166001917e+00;1.0163015505e+00;1.0164579466e+00;1.0165950299e+00;1.0167033668e+00;1.0164194133e+00;1.0164703888e+00;1.0164936711e+00;1.0167826590e+00;1.0164916518e+00;1.0164479570e+00;1.0166700735e+00
7.0400000000e-05;1.0159805776e+00;1.0161513368e+00;1.0158159765e+00;1.0159544466e+00;1.0161714076e+00;1.0160238080e+00;1.0159588957e+00;1.0158952742e+00;1.0162600927e+00;1.0158614502e+00;1.0159444370e+00;1.0162077755e+00;1.0162914441e+00;1.0159934310e+00;1.0161616879e+00;1.0160727822e+00;1.0163459164e+00;1.0160756143e+00;1.0160839012e+00;1.0160897959e+00
7.6800000000e-05;1.0155961210e+00;1.0157476298e+00;1.0153332283e+00;1.0154936016e+00;1.0158841316e+00;1.0157464302e+00;1.0156850084e+00;1.0155452395e+00;1.0157468493e+00;1.0153429419e+00;1.0155333665e+00;1.0158298682e+00;1.0159185466e+00;1.0156899347e+00;1.0156526382e+00;1.0155562246e+00;1.0159736013e+00;1.0157527436e+00;1.0157345044e+00;1.0157629327e+00
8.3200000000e-05;1.0151793517e+00;1.0153708524e+00;1.0151201194e+00;1.0150947605e+00;1.0154483635e+00;1.0152572824e+00;1.0152027519e+00;1.0150917564e+00;1.0154654187e+00;1.0150119852e+00;1.0151634979e+00;1.0153414614e+00;1.0155230996e+00;1.0151263384e+00;1.0152437400e+00;1.0150226616e+00;1.0154460018e+00;1.0153820107e+00;1.0151872880e+00;1.0153928127e+00
8.9600000000e-05;1.0148344163e+00;1.0149398912e+00;1.0146508843e+00;1.0149606012e+00;1.0150453060e+00;1.0149400788e+00;1.0148112359e+00;1.0146815323e+00;1.0149561404e+00;1.0147116411e+00;1.0147824933e+00;1.0150105620e+00;1.0151446024e+00;1.0148217684e+00;1.0148619821e+00;1.0148757062e+00;1.0151291909e+00;1.0149041663e+00;1.0147422629e+00;1.0149560937e+00
