;04_DBD_3_1_1_1;04_DBD_3_2_1_1;04_DBD_3_3_1_1;04_DBD_3_4_1_1;04_DBD_3_5_1_1;04_DBD_3_6_1_1;04_DBD_3_7_1_1;04_DBD_3_8_1_1;04_DBD_3_9_1_1;04_DBD_3_10_1_1;04_DBD_3_11_1_1;04_DBD_3_12_1_1;04_DBD_3_13_1_1;04_DBD_3_14_1_1;04_DBD_3_15_1_1;04_DBD_3_16_1_1;04_DBD_3_17_1_1;04_DBD_3_18_1_1;04_DBD_3_19_1_1;04_DBD_3_20_1_1
2.5600000000e-05;1.0185265953e+00;1.0180381949e+00;1.0188913066e+00;1.0186014015e+00;1.0190001902e+00;1.0189315260e+00;1.0186314395e+00;1.0190149869e+00;1.0187828516e+00;1.0186814676e+00;1.0186029988e+00;1.0189341816e+00;1.0188273368e+00;1.0191833121e+00;1.0194361268e+00;1.0188421143e+00;1.0185850800e+00;1.0188962403e+00;1.0185703846e+00;1.0191532877e+00
2.8800000000e-05;1.0180712081e+00;1.0177689831e+00;1.0186158949e+00;1.0188132003e+00;1.0183387736e+00;1.0187019930e+00;1.0183542580e+00;1.0184354714e+00;1.0183584130e+00;1.0182780780e+00;1.0183042505e+00;1.0185822342e+00;1.0184895540e+00;1.0186378046e+00;1.0191092520e+00;1.0186363189e+00;1.0183591032e+00;1.0183912446e+00;1.0184007037e+00;1.0183103275e+00
3.2000000000e-05;1.0175352065e+00;1.0174254449e+00;1.0182610169e+00;1.0184528053e+00;1.0179271009e+00;1.0184379492e+00;1.0181563867e+00;1.0182836179e+00;1.0180403383e+00;1.0181912295e+00;1.0178220427e+00;1.0181131177e+00;1.0180180142e+00;1.0184616759e+00;1.0187668232e+00;1.0179104107e+00;1.0180051421e+00;1.0182435854e+00;1.0178251430e+00;1.0181346553e+00
3.5200000000e-05;1.0173228720e+00;1.0169827295e+00;1.0179307093e+00;1.0178251742e+00;1.0178354239e+00;1.0181141367e+00;1.0176897771e+00;1.0178677925e+00;1.0175752274e+00;1.0178115487e+00;1.0174856875e+00;1.0177430035e+00;1.0174215783e+00;1.0180029525e+00;1.0183032192e+00;1.0176039953e+00;1.0175703656e+00;1.0179143099e+00;1.0175544411e+00;1.0177325098e+00
3.8400000000e-05;1.0171389647e+00;1.0167870816e+00;1.0175902239e+00;1.0176890139e+00;1.0172592105e+00;1.0176642002e+00;1.0174130738e+00;1.0175802065e+00;1.0172122496e+00;1.0171774695e+00;1.0172152341e+00;1.0174400237e+00;1.0171253698e+00;1.0177581089e+00;1.0178591965e+00;1.0172249620e+00;1.0173051981e+00;1.0174198777e+00;1.0170526352e+00;1.0172584794e+00
4.1600000000e-05;1.0167254374e+00;1.0165199207e+00;1.0173001829e+00;1.0170624259e+00;1.0171860679e+00;1.0173551414e+00;1.0170208875e+00;1.0172803457e+00;1.0169979551e+00;1.0168338075e+00;1.0168296622e+00;1.0169664718e+00;1.0170377572e+00;1.0174129865e+00;1.0178106999e+00;1.0170196571e+00;1.0168508647e+00;1.0172222188e+00;1.0169156172e+00;1.0167714828e+00
4.4800000000e-05;1.0163815005e+00;1.0160804323e+00;1.0169674508e+00;1.0168235865e+00;1.0166243727e+00;1.0169826566e+00;1.0168517618e+00;1.0168373259e+00;1.0166378463e+00;1.0163753953e+00;1.0164770925e+00;1.0168245561e+00;1.0168709282e+00;1.0169981290e+00;1.0175095968e+00;1.0167593026e+00;1.0165127455e+00;1.0167127767e+00;1.0167046543e+00;1.0167827961e+00
4.8000000000e-05;1.0162268280e+00;1.0159177515e+00;1.0166479707e+00;1.0166913310e+00;1.0165284866e+00;1.0166958746e+00;1.0164013633e+00;1.0164834659e+00;1.0164579853e+00;1.0162980464e+00;1.0163007021e+00;1.0165651202e+00;1.0164339046e+00;1.0167057646e+00;1.0170603855e+00;1.0165241142e+00;1.0164484886e+00;1.0166171005e+00;1.0164269535e+00;1.0165528443e+00
5.1200000000e-05;1.0157954031e+00;1.0155648522e+00;1.0165502169e+00;1.0166449711e+00;1.0159282067e+00;1.0163948325e+00;1.0163064952e+00;1.0163373859e+00;1.0161236482e+00;1.0161984265e+00;1.0158497281e+00;1.0162464185e+00;1.0163139007e+00;1.0167435752e+00;1.0169092608e+00;1.0162262438e+00;1.0159300577e+00;1.0163142679e+00;1.0162965842e+00;1.0162342906e+00
5.7600000000e-05;1.0152996145e+00;1.0154444454e+00;1.0160107712e+00;1.0159313156e+00;1.0155588284e+00;1.0159320753e+00;1.0157917905e+00;1.0160696690e+00;1.0158430225e+00;1.0157275973e+00;1.0156612128e+00;1.0158919987e+00;1.0156077624e+00;1.0160395743e+00;1.0162780174e+00;1.0155496361e+00;1.0156658590e+00;1.0157287079e+00;1.0157458698e+00;1.0158034743e+00
