;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
8.9600000000e-05;1.0185690143e+00;1.0186866021e+00;1.0187631187e+00;1.0186257329e+00;1.0191837092e+00;1.0186913317e+00;1.0190214426e+00;1.0185261288e+00;1.0190288329e+00;1.0186035128e+00
9.6000000000e-05;1.0173391388e+00;1.0180584212e+00;1.0174611145e+00;1.0177498151e+00;1.0179559198e+00;1.0178328752e+00;1.0181906047e+00;1.0176205961e+00;1.0179877403e+00;1.0183084696e+00
1.0240000000e-04;1.0166927931e+00;1.0168958986e+00;1.0168281965e+00;1.0169179841e+00;1.0170384327e+00;1.0169605372e+00;1.0172855071e+00;1.0169915323e+00;1.0171804716e+00;1.0169316454e+00
1.1520000000e-04;1.0149345618e+00;1.0152794921e+00;1.0154970282e+00;1.0153809206e+00;1.0155178729e+00;1.0156654902e+00;1.0155865568e+00;1.0153320142e+00;1.0156531744e+00;1.0155944896e+00
1.2800000000e-04;1.0137092142e+00;1.0138037689e+00;1.0139696699e+00;1.0140033202e+00;1.0142221614e+00;1.0142310308e+00;1.0143192757e+00;1.0141184328e+00;1.0145553214e+00;1.0144785677e+00
1.4080000000e-04;1.0125983065e+00;1.0127544886e+00;1.0128553000e+00;1.0127238341e+00;1.0129063794e+00;1.0133942732e+00;1.0131997432e+00;1.0130565926e+00;1.0131680626e+00;1.0132904075e+00
1.5360000000e-04;1.0117117157e+00;1.0118341080e+00;1.0120073530e+00;1.0119310611e+00;1.0120229328e+00;1.0123976629e+00;1.0119954342e+00;1.0121594886e+00;1.0120157124e+00;1.0123524107e+00
1.6640000000e-04;1.0107500421e+00;1.0109876906e+00;1.0110571603e+00;1.0111894561e+00;1.0111529552e+00;1.0114098048e+00;1.0115539230e+00;1.0113885643e+00;1.0110672058e+00;1.0114404897e+00
1.7920000000e-04;1.0101434601e+00;1.0103691913e+00;1.0103830510e+00;1.0101599638e+00;1.0103800193e+00;1.0108591833e+00;1.0107900981e+00;1.0106704235e+00;1.0106492271e+00;1.0106304180e+00
1.9200000000e-04;1.0094004975e+00;1.0096183466e+00;1.0099229909e+00;1.0096309163e+00;1.0099330095e+00;1.0099357644e+00;1.0097937825e+00;1.0103134255e+00;1.0098657835e+00;1.0101465491e+00
2.0480000000e-04;1.0089233209e+00;1.0091416962e+00;1.0090279463e+00;1.0089806242e+00;1.0093973802e+00;1.0095119521e+00;1.0093625856e+00;1.0094458364e+00;1.0094706566e+00;1.0093330448e+00
