;04_DM100_14_1_1_1;04_DM100_14_2_1_1;04_DM100_14_3_1_1;04_DM100_14_4_1_1;04_DM100_14_5_1_1;04_DM100_14_6_1_1;04_DM100_14_7_1_1;04_DM100_14_8_1_1;04_DM100_14_9_1_1;04_DM100_14_10_1_1;04_DM100_14_11_1_1;04_DM100_14_12_1_1;04_DM100_14_13_1_1;04_DM100_14_14_1_1;04_DM100_14_15_1_1;04_DM100_14_16_1_1;04_DM100_14_17_1_1;04_DM100_14_18_1_1;04_DM100_14_19_1_1;04_DM100_14_20_1_1
6.4000000000e-06;1.0186010884e+00;1.0187348263e+00;1.0189338037e+00;1.0179645148e+00;1.0192701146e+00;1.0186617536e+00;1.0173110078e+00;1.0186089745e+00;1.0174829502e+00;1.0170683743e+00;1.0157397901e+00;1.0144202954e+00;1.0151068587e+00;1.0135397315e+00;1.0147890631e+00;1.0174282235e+00;1.0110245503e+00;1.0170149780e+00;1.0172141267e+00;1.0105485989e+00
7.2000000000e-06;1.0200123658e+00;1.0198945101e+00;1.0189973552e+00;1.0189332962e+00;1.0188189469e+00;1.0180545364e+00;1.0180632595e+00;1.0179795946e+00;1.0179869961e+00;1.0170160634e+00;1.0170443699e+00;1.0168742742e+00;1.0168794635e+00;1.0143437344e+00;1.0157081663e+00;1.0138977651e+00;1.0147356621e+00;1.0130916596e+00;1.0172739543e+00;1.0197039763e+00
8.0000000000e-06;1.0193414834e+00;1.0195518973e+00;1.0199288823e+00;1.0190527723e+00;1.0192201386e+00;1.0185696068e+00;1.0185285714e+00;1.0187280167e+00;1.0181411417e+00;1.0175366261e+00;1.0174605671e+00;1.0167001608e+00;1.0164688189e+00;1.0150431907e+00;1.0148139876e+00;1.0125832585e+00;1.0109279836e+00;1.0150936078e+00;1.0181819041e+00;1.0300611374e+00
8.8000000000e-06;1.0189187077e+00;1.0193422921e+00;1.0189290739e+00;1.0187920314e+00;1.0190658593e+00;1.0191264131e+00;1.0180330540e+00;1.0181138758e+00;1.0171997978e+00;1.0168677083e+00;1.0157585722e+00;1.0168343711e+00;1.0151580001e+00;1.0144917545e+00;1.0148715885e+00;1.0160064417e+00;1.0115537451e+00;1.0176094318e+00;1.0173736801e+00;1.0243362531e+00
9.6000000000e-06;1.0193524851e+00;1.0188120148e+00;1.0188277011e+00;1.0182712916e+00;1.0181200592e+00;1.0183866734e+00;1.0174446643e+00;1.0177835122e+00;1.0167396367e+00;1.0173197668e+00;1.0163804778e+00;1.0163410272e+00;1.0140492762e+00;1.0128563193e+00;1.0137627947e+00;1.0155119963e+00;1.0103678112e+00;1.0135947515e+00;1.0197383820e+00;1.0303669948e+00
1.0400000000e-05;1.0184637614e+00;1.0188460911e+00;1.0188493136e+00;1.0180703920e+00;1.0180110845e+00;1.0184760020e+00;1.0175657395e+00;1.0183415572e+00;1.0171661016e+00;1.0164784993e+00;1.0163266216e+00;1.0162772392e+00;1.0159644865e+00;1.0138562574e+00;1.0146431845e+00;1.0127146890e+00;1.0117252149e+00;1.0160409883e+00;1.0172244747e+00;1.0239647414e+00
1.1200000000e-05;1.0188461247e+00;1.0187454336e+00;1.0187892842e+00;1.0180842588e+00;1.0183456595e+00;1.0182167485e+00;1.0172707585e+00;1.0177285238e+00;1.0167764913e+00;1.0165647725e+00;1.0168751515e+00;1.0166811802e+00;1.0165302063e+00;1.0143184480e+00;1.0161718918e+00;1.0115649888e+00;1.0121205870e+00;1.0115552550e+00;1.0155282305e+00;1.0206871245e+00
1.2000000000e-05;1.0184826850e+00;1.0187026236e+00;1.0187372011e+00;1.0179906241e+00;1.0179610754e+00;1.0176453144e+00;1.0178228388e+00;1.0179776879e+00;1.0167808472e+00;1.0173004023e+00;1.0156633043e+00;1.0177986705e+00;1.0152560836e+00;1.0154170520e+00;1.0154637867e+00;1.0132388407e+00;1.0109748403e+00;1.0139854332e+00;1.0134129204e+00;1.0241176442e+00
1.2800000000e-05;1.0186680586e+00;1.0184409245e+00;1.0180023544e+00;1.0182758988e+00;1.0176553274e+00;1.0178772766e+00;1.0174902144e+00;1.0174798356e+00;1.0173583183e+00;1.0164293581e+00;1.0159785698e+00;1.0160633276e+00;1.0167247757e+00;1.0151255750e+00;1.0146184931e+00;1.0146426484e+00;1.0154674091e+00;1.0107740591e+00;1.0178031069e+00;1.0139352348e+00
1.4400000000e-05;1.0183982846e+00;1.0182213557e+00;1.0184371610e+00;1.0173726857e+00;1.0175024499e+00;1.0175108242e+00;1.0169918667e+00;1.0173345141e+00;1.0163366650e+00;1.0166610315e+00;1.0159588358e+00;1.0160451332e+00;1.0149326378e+00;1.0143829388e+00;1.0146340254e+00;1.0148460965e+00;1.0118545500e+00;1.0140074921e+00;1.0166057244e+00;1.0181530834e+00
