;02_FL100_1_1_1_1;02_FL100_1_2_1_1;02_FL100_1_3_1_1;02_FL100_1_4_1_1;02_FL100_1_5_1_1;02_FL100_1_6_1_1;02_FL100_1_7_1_1;02_FL100_1_8_1_1;02_FL100_1_9_1_1;02_FL100_1_10_1_1;02_FL100_1_11_1_1;02_FL100_1_12_1_1;02_FL100_1_13_1_1;02_FL100_1_14_1_1;02_FL100_1_15_1_1;02_FL100_1_16_1_1;02_FL100_1_17_1_1;02_FL100_1_18_1_1;02_FL100_1_19_1_1;02_FL100_1_20_1_1
1.5728640000e+00;1.0026891239e+00;9.9996535540e-01;1.0001375315e+00;1.0042904630e+00;1.0164082235e+00;1.0001083419e+00;1.0001195054e+00;1.0012093236e+00;1.0218210763e+00;1.0003574123e+00;1.0030122624e+00;1.0048042415e+00;9.9997722200e-01;1.0017482240e+00;1.0026145273e+00;1.0000646210e+00;1.0000710122e+00;1.0290851468e+00;1.0305954884e+00;1.0230248730e+00
1.6777216000e+00;1.0026911232e+00;9.9993050636e-01;9.9999785757e-01;1.0041690444e+00;1.0161215354e+00;1.0001256972e+00;1.0001027277e+00;1.0011900501e+00;1.0204887672e+00;1.0003535753e+00;1.0029692571e+00;1.0048283166e+00;1.0000815106e+00;1.0016173005e+00;1.0024845857e+00;1.0000786341e+00;1.0000247615e+00;1.0286806493e+00;1.0299889617e+00;1.0225440697e+00
1.8874368000e+00;1.0024856367e+00;9.9998276348e-01;1.0000618601e+00;1.0038961860e+00;1.0157793706e+00;1.0000536827e+00;1.0001003555e+00;1.0010192044e+00;1.0178070247e+00;1.0003083057e+00;1.0028278209e+00;1.0046187250e+00;9.9992712384e-01;1.0014413656e+00;1.0024722340e+00;1.0000255812e+00;1.0000265816e+00;1.0274049166e+00;1.0288060777e+00;1.0213275201e+00
2.0971520000e+00;1.0023694284e+00;1.0000303649e+00;9.9999328039e-01;1.0035199169e+00;1.0153950964e+00;1.0000107489e+00;1.0000264493e+00;1.0008992238e+00;1.0165214378e+00;1.0002589512e+00;1.0027978891e+00;1.0044865714e+00;1.0000311795e+00;1.0014666123e+00;1.0024758479e+00;1.0000952347e+00;1.0000005538e+00;1.0272398712e+00;1.0278968460e+00;1.0202635981e+00
2.3068672000e+00;1.0022367294e+00;1.0000769326e+00;1.0000434951e+00;1.0032145323e+00;1.0149938853e+00;9.9994225633e-01;1.0000729351e+00;1.0008383578e+00;1.0161873028e+00;1.0002869979e+00;1.0026955973e+00;1.0044198301e+00;9.9999060298e-01;1.0012811740e+00;1.0023222625e+00;1.0000804262e+00;9.9993966009e-01;1.0268675882e+00;1.0273141381e+00;1.0191293814e+00
2.5165824000e+00;1.0021022998e+00;1.0000094895e+00;1.0000589840e+00;1.0028188115e+00;1.0146441178e+00;1.0000146176e+00;1.0000763373e+00;1.0008277184e+00;1.0162100736e+00;1.0002924018e+00;1.0026867801e+00;1.0043911028e+00;1.0000174555e+00;1.0012776887e+00;1.0023383757e+00;1.0001139685e+00;1.0000562129e+00;1.0263242102e+00;1.0270954013e+00;1.0183967615e+00
2.7262976000e+00;1.0020343197e+00;9.9996683271e-01;1.0000458649e+00;1.0023575230e+00;1.0142418362e+00;9.9997258252e-01;1.0000219990e+00;1.0007814817e+00;1.0156925895e+00;1.0002580557e+00;1.0025988717e+00;1.0042268796e+00;1.0000528497e+00;1.0011631555e+00;1.0023693856e+00;1.0000408992e+00;1.0000610302e+00;1.0257791479e+00;1.0269773497e+00;1.0176100304e+00
2.9360128000e+00;1.0018590417e+00;1.0000400499e+00;1.0000454866e+00;1.0019829257e+00;1.0137772204e+00;9.9995942384e-01;1.0000532759e+00;1.0007150998e+00;1.0144758611e+00;1.0002559797e+00;1.0025619994e+00;1.0041901496e+00;1.0000531407e+00;1.0010909884e+00;1.0022774747e+00;1.0000640013e+00;1.0000171932e+00;1.0251164506e+00;1.0273690698e+00;1.0167183615e+00
3.1457280000e+00;1.0015969692e+00;9.9998890527e-01;1.0000570054e+00;1.0015100568e+00;1.0134146708e+00;9.9985827431e-01;1.0000136618e+00;1.0006519519e+00;1.0129387562e+00;1.0002818073e+00;1.0023101087e+00;1.0040547396e+00;1.0000093229e+00;1.0011518804e+00;1.0021369220e+00;1.0000639588e+00;1.0000125400e+00;1.0244128900e+00;1.0274876216e+00;1.0157997764e+00
3.3554432000e+00;1.0015569755e+00;9.9999114584e-01;1.0000111158e+00;1.0011084451e+00;1.0128737229e+00;9.9993936326e-01;1.0000734198e+00;1.0007360643e+00;1.0111394206e+00;1.0002360533e+00;1.0023867106e+00;1.0039200607e+00;1.0000056546e+00;1.0010705325e+00;1.0021496010e+00;1.0000717995e+00;1.0000129405e+00;1.0233514542e+00;1.0276959040e+00;1.0149230786e+00
3.7748736000e+00;1.0013153692e+00;9.9996969391e-01;1.0000093834e+00;1.0005667076e+00;1.0115463588e+00;9.9996348360e-01;1.0000190229e+00;1.0007579728e+00;1.0086981205e+00;1.0002223807e+00;1.0023175471e+00;1.0035048334e+00;1.0000203851e+00;1.0009168533e+00;1.0021016136e+00;1.0000498392e+00;1.0000898425e+00;1.0217243000e+00;1.0284200968e+00;1.0127665447e+00
4.1943040000e+00;1.0009752923e+00;9.9998204205e-01;1.0000078923e+00;9.9971425716e-01;1.0099913999e+00;9.9995869111e-01;9.9999507113e-01;1.0008346257e+00;1.0069486957e+00;1.0001929597e+00;1.0022810421e+00;1.0032341681e+00;9.9995173560e-01;1.0007498934e+00;1.0020355773e+00;9.9998676427e-01;1.0000082885e+00;1.0195211745e+00;1.0281956853e+00;1.0104246613e+00
