;06_mNG_2_1_1_1;06_mNG_2_2_1_1;06_mNG_2_3_1_1;06_mNG_2_4_1_1;06_mNG_2_5_1_1;06_mNG_2_6_1_1;06_mNG_2_7_1_1;06_mNG_2_8_1_1;06_mNG_2_9_1_1;06_mNG_2_10_1_1;06_mNG_2_11_1_1;06_mNG_2_12_1_1;06_mNG_2_13_1_1;06_mNG_2_14_1_1;06_mNG_2_15_1_1;06_mNG_2_16_1_1;06_mNG_2_17_1_1;06_mNG_2_18_1_1;06_mNG_2_19_1_1;06_mNG_2_20_1_1
6.4000000000e-06;1.0828957503e+00;1.0818344846e+00;1.0862024023e+00;1.0879853557e+00;1.0921269857e+00;1.0961430584e+00;1.0958144131e+00;1.0986354481e+00;1.0992401556e+00;1.1001508090e+00;1.1023637351e+00;1.1039365966e+00;1.1028164478e+00;1.1035959332e+00;1.1051966353e+00;1.1052129944e+00;1.1057653094e+00;1.1057389317e+00;1.1058136269e+00;1.1077431452e+00
7.2000000000e-06;1.0813070843e+00;1.0818681977e+00;1.0856165682e+00;1.0877583001e+00;1.0913677699e+00;1.0933857308e+00;1.0952057818e+00;1.0976733110e+00;1.0970461712e+00;1.0992866344e+00;1.0987010985e+00;1.1000789616e+00;1.1024497835e+00;1.1035264642e+00;1.1033389663e+00;1.1037624522e+00;1.1041851965e+00;1.1056330009e+00;1.1048610651e+00;1.1068381829e+00
8.0000000000e-06;1.0791401631e+00;1.0800794847e+00;1.0849511550e+00;1.0868746067e+00;1.0896590185e+00;1.0919325087e+00;1.0943711575e+00;1.0948305705e+00;1.0966122855e+00;1.0971606639e+00;1.0997033637e+00;1.0990984680e+00;1.1015690540e+00;1.1005762883e+00;1.1026543860e+00;1.1018508637e+00;1.1036985062e+00;1.1035004271e+00;1.1035774947e+00;1.1051931351e+00
8.8000000000e-06;1.0779642291e+00;1.0785745198e+00;1.0830460017e+00;1.0846436705e+00;1.0887130760e+00;1.0911505941e+00;1.0928600264e+00;1.0942363416e+00;1.0949215751e+00;1.0958362247e+00;1.0969176258e+00;1.0973015160e+00;1.0994502874e+00;1.1002285041e+00;1.1008142318e+00;1.0998267988e+00;1.1005885086e+00;1.1019693804e+00;1.1023530134e+00;1.1030410442e+00
9.6000000000e-06;1.0780499552e+00;1.0782065817e+00;1.0819148936e+00;1.0846387229e+00;1.0863088609e+00;1.0903019971e+00;1.0917748260e+00;1.0925913142e+00;1.0935704763e+00;1.0946298962e+00;1.0960101652e+00;1.0964855480e+00;1.0992033561e+00;1.0978385082e+00;1.0990575245e+00;1.0990475181e+00;1.1003186952e+00;1.0998405734e+00;1.1012724250e+00;1.1002776635e+00
1.0400000000e-05;1.0758138061e+00;1.0770456401e+00;1.0817795427e+00;1.0846639468e+00;1.0854839642e+00;1.0896642808e+00;1.0903739635e+00;1.0904941199e+00;1.0909120442e+00;1.0937847578e+00;1.0936577183e+00;1.0945497773e+00;1.0976031986e+00;1.0976409693e+00;1.0982794126e+00;1.0990848691e+00;1.1007757638e+00;1.0991867033e+00;1.0998352334e+00;1.1002083239e+00
1.1200000000e-05;1.0760788592e+00;1.0758193547e+00;1.0794185738e+00;1.0821765524e+00;1.0847026440e+00;1.0874674698e+00;1.0883753783e+00;1.0904686889e+00;1.0924194992e+00;1.0929396193e+00;1.0928357038e+00;1.0936434364e+00;1.0961739002e+00;1.0954060514e+00;1.0978813219e+00;1.0961477305e+00;1.0969912621e+00;1.0979494837e+00;1.0981172484e+00;1.0987253767e+00
1.2000000000e-05;1.0738269625e+00;1.0750509275e+00;1.0785119763e+00;1.0804592649e+00;1.0831955964e+00;1.0859456142e+00;1.0875690373e+00;1.0883508812e+00;1.0901906193e+00;1.0919787596e+00;1.0928793018e+00;1.0924362056e+00;1.0936785733e+00;1.0952610212e+00;1.0939818344e+00;1.0941183598e+00;1.0976299325e+00;1.0978267628e+00;1.0971505811e+00;1.0978740336e+00
1.2800000000e-05;1.0745476492e+00;1.0732244088e+00;1.0771823369e+00;1.0804257168e+00;1.0820824980e+00;1.0859365802e+00;1.0874424040e+00;1.0894150784e+00;1.0898844041e+00;1.0900214962e+00;1.0901266491e+00;1.0907317989e+00;1.0936084162e+00;1.0944264044e+00;1.0928126736e+00;1.0925054694e+00;1.0963483633e+00;1.0963808618e+00;1.0963480502e+00;1.0959698528e+00
1.4400000000e-05;1.0718864860e+00;1.0728826363e+00;1.0761498964e+00;1.0788683543e+00;1.0814152401e+00;1.0835769610e+00;1.0855495300e+00;1.0854535550e+00;1.0873947464e+00;1.0887331014e+00;1.0893715649e+00;1.0898026709e+00;1.0913723699e+00;1.0925359349e+00;1.0928423193e+00;1.0912161365e+00;1.0934903447e+00;1.0935205172e+00;1.0934719050e+00;1.0945057115e+00
1.6000000000e-05;1.0704854517e+00;1.0712149972e+00;1.0748986602e+00;1.0778006735e+00;1.0796052253e+00;1.0820430061e+00;1.0822739496e+00;1.0840020596e+00;1.0857524219e+00;1.0871086998e+00;1.0863640040e+00;1.0872926704e+00;1.0895242473e+00;1.0896894688e+00;1.0904205502e+00;1.0892334297e+00;1.0916026600e+00;1.0912366998e+00;1.0918537453e+00;1.0926429870e+00
1.7600000000e-05;1.0686169490e+00;1.0695537503e+00;1.0729788317e+00;1.0751276152e+00;1.0786480337e+00;1.0803738539e+00;1.0805900550e+00;1.0830867495e+00;1.0847750681e+00;1.0852765157e+00;1.0848775142e+00;1.0857393972e+00;1.0881091292e+00;1.0879225248e+00;1.0881795034e+00;1.0885128971e+00;1.0893489504e+00;1.0897123552e+00;1.0900094707e+00;1.0906101273e+00
1.9200000000e-05;1.0680042465e+00;1.0689361314e+00;1.0720077490e+00;1.0741817730e+00;1.0758223334e+00;1.0784826408e+00;1.0787679694e+00;1.0817624165e+00;1.0821855134e+00;1.0835599375e+00;1.0832852441e+00;1.0846098938e+00;1.0862285806e+00;1.0870576141e+00;1.0866832540e+00;1.0867600355e+00;1.0882736332e+00;1.0887920787e+00;1.0885064798e+00;1.0892483219e+00
2.0800000000e-05;1.0661436647e+00;1.0678113878e+00;1.0704436015e+00;1.0724070507e+00;1.0752079193e+00;1.0765180151e+00;1.0781517409e+00;1.0792530435e+00;1.0799820332e+00;1.0816871755e+00;1.0820707457e+00;1.0835329735e+00;1.0854783701e+00;1.0852278002e+00;1.0854288822e+00;1.0865299658e+00;1.0862322871e+00;1.0868372175e+00;1.0865895911e+00;1.0886500830e+00
2.2400000000e-05;1.0652320075e+00;1.0665568443e+00;1.0695708148e+00;1.0706888998e+00;1.0741120702e+00;1.0750845938e+00;1.0768985092e+00;1.0791433295e+00;1.0797154712e+00;1.0799601918e+00;1.0801896293e+00;1.0806676074e+00;1.0832535701e+00;1.0824207171e+00;1.0837626435e+00;1.0824559547e+00;1.0843921398e+00;1.0860512080e+00;1.0847637981e+00;1.0857073832e+00
2.4000000000e-05;1.0639640970e+00;1.0647981945e+00;1.0684197119e+00;1.0692667033e+00;1.0729609846e+00;1.0754772510e+00;1.0746074259e+00;1.0768736605e+00;1.0781731619e+00;1.0792809601e+00;1.0791299741e+00;1.0792624987e+00;1.0819097094e+00;1.0811129551e+00;1.0829476192e+00;1.0827485038e+00;1.0831598358e+00;1.0840211251e+00;1.0829798596e+00;1.0853388906e+00
2.5600000000e-05;1.0636079455e+00;1.0637113845e+00;1.0665901368e+00;1.0683892701e+00;1.0711073922e+00;1.0742445778e+00;1.0744794729e+00;1.0770295225e+00;1.0763006922e+00;1.0778940112e+00;1.0782887977e+00;1.0784232284e+00;1.0810301044e+00;1.0810462253e+00;1.0811803895e+00;1.0800841593e+00;1.0821564344e+00;1.0827814278e+00;1.0823660608e+00;1.0839227780e+00
2.8800000000e-05;1.0613162154e+00;1.0618307060e+00;1.0647904212e+00;1.0675172915e+00;1.0692986453e+00;1.0722927176e+00;1.0718159304e+00;1.0735516902e+00;1.0745672044e+00;1.0753367179e+00;1.0754720880e+00;1.0761520214e+00;1.0785079110e+00;1.0783000667e+00;1.0780995447e+00;1.0789417771e+00;1.0795822403e+00;1.0803505828e+00;1.0798020529e+00;1.0816499272e+00
3.2000000000e-05;1.0596549770e+00;1.0600556053e+00;1.0632323266e+00;1.0645437240e+00;1.0675230161e+00;1.0689805022e+00;1.0701471296e+00;1.0719098235e+00;1.0725656812e+00;1.0738625428e+00;1.0739562442e+00;1.0749343049e+00;1.0757378121e+00;1.0762192082e+00;1.0757561441e+00;1.0759038626e+00;1.0771335914e+00;1.0773341177e+00;1.0771556143e+00;1.0785427568e+00
3.5200000000e-05;1.0582552622e+00;1.0583580840e+00;1.0609889694e+00;1.0630363048e+00;1.0660749832e+00;1.0675804267e+00;1.0685321548e+00;1.0693066735e+00;1.0707919581e+00;1.0706164806e+00;1.0715836858e+00;1.0729790380e+00;1.0744274646e+00;1.0736621122e+00;1.0740995417e+00;1.0750823001e+00;1.0744322551e+00;1.0762031073e+00;1.0761476684e+00;1.0768662341e+00
3.8400000000e-05;1.0568993197e+00;1.0570417131e+00;1.0601928110e+00;1.0610706556e+00;1.0635520617e+00;1.0663058717e+00;1.0665961868e+00;1.0679471679e+00;1.0684891482e+00;1.0693826185e+00;1.0699510289e+00;1.0703281229e+00;1.0725588874e+00;1.0719473372e+00;1.0725762627e+00;1.0728556973e+00;1.0739176828e+00;1.0744836034e+00;1.0745715529e+00;1.0744659869e+00
4.1600000000e-05;1.0554410104e+00;1.0556376090e+00;1.0584134922e+00;1.0602293156e+00;1.0625572903e+00;1.0643793785e+00;1.0648275145e+00;1.0659174970e+00;1.0670951968e+00;1.0683606920e+00;1.0680433475e+00;1.0689404690e+00;1.0709862518e+00;1.0705790129e+00;1.0714122016e+00;1.0709535246e+00;1.0719374828e+00;1.0722041584e+00;1.0712507850e+00;1.0727228600e+00
