;05_DP_3_1_1_1;05_DP_3_2_1_1;05_DP_3_3_1_1;05_DP_3_4_1_1;05_DP_3_5_1_1;05_DP_3_6_1_1;05_DP_3_7_1_1;05_DP_3_8_1_1;05_DP_3_9_1_1;05_DP_3_10_1_1;05_DP_3_11_1_1;05_DP_3_12_1_1;05_DP_3_13_1_1;05_DP_3_14_1_1;05_DP_3_15_1_1;05_DP_3_16_1_1;05_DP_3_17_1_1;05_DP_3_18_1_1;05_DP_3_19_1_1;05_DP_3_20_1_1
6.4000000000e-06;1.0620696094e+00;1.0627814250e+00;1.0640281002e+00;1.0642044092e+00;1.0640818931e+00;1.0646798292e+00;1.0659095212e+00;1.0649404265e+00;1.0670734183e+00;1.0674507079e+00;1.0680532993e+00;1.0688330730e+00;1.0683254353e+00;1.0685858068e+00;1.0702966780e+00;1.0697283138e+00;1.0714838490e+00;1.0721781791e+00;1.0712215455e+00;1.0714297703e+00
7.2000000000e-06;1.0615674876e+00;1.0614780781e+00;1.0626101269e+00;1.0635103989e+00;1.0633810673e+00;1.0640174733e+00;1.0641417840e+00;1.0647875801e+00;1.0655019290e+00;1.0667330571e+00;1.0673684401e+00;1.0686068179e+00;1.0672647298e+00;1.0692497716e+00;1.0693306356e+00;1.0690521225e+00;1.0710595421e+00;1.0706977008e+00;1.0710342183e+00;1.0715418154e+00
8.0000000000e-06;1.0608740368e+00;1.0623677086e+00;1.0609910664e+00;1.0622100922e+00;1.0626401866e+00;1.0640904427e+00;1.0635158203e+00;1.0648108238e+00;1.0642220004e+00;1.0653677751e+00;1.0668500996e+00;1.0672526798e+00;1.0667956829e+00;1.0682660186e+00;1.0683366404e+00;1.0691301685e+00;1.0699949768e+00;1.0697266067e+00;1.0699923818e+00;1.0698009805e+00
8.8000000000e-06;1.0607572439e+00;1.0611188168e+00;1.0605202399e+00;1.0610444670e+00;1.0618119636e+00;1.0640101060e+00;1.0627266709e+00;1.0627501708e+00;1.0644236540e+00;1.0652627306e+00;1.0663947217e+00;1.0666741340e+00;1.0660229633e+00;1.0674275940e+00;1.0683445210e+00;1.0680185456e+00;1.0691992972e+00;1.0686102506e+00;1.0693372627e+00;1.0699282227e+00
9.6000000000e-06;1.0595802490e+00;1.0607897657e+00;1.0596908855e+00;1.0604736820e+00;1.0611627667e+00;1.0624282911e+00;1.0622255333e+00;1.0624164788e+00;1.0631449546e+00;1.0645577061e+00;1.0649975643e+00;1.0660438946e+00;1.0656802859e+00;1.0665673039e+00;1.0662042387e+00;1.0666609869e+00;1.0674103098e+00;1.0688080705e+00;1.0685433968e+00;1.0683729479e+00
1.0400000000e-05;1.0595000124e+00;1.0595473004e+00;1.0590353684e+00;1.0603526740e+00;1.0602070240e+00;1.0617662727e+00;1.0615973485e+00;1.0616619353e+00;1.0614021952e+00;1.0636189278e+00;1.0639347707e+00;1.0655980345e+00;1.0639985759e+00;1.0656765345e+00;1.0664878222e+00;1.0656698740e+00;1.0673460088e+00;1.0674754916e+00;1.0690767236e+00;1.0670624636e+00
1.1200000000e-05;1.0583282141e+00;1.0587386186e+00;1.0576794494e+00;1.0597515790e+00;1.0597969505e+00;1.0616158074e+00;1.0610512037e+00;1.0606735613e+00;1.0618503230e+00;1.0626386529e+00;1.0644208867e+00;1.0647947928e+00;1.0639235365e+00;1.0661579936e+00;1.0651346264e+00;1.0655293676e+00;1.0666966195e+00;1.0667680079e+00;1.0664478188e+00;1.0664271991e+00
1.2000000000e-05;1.0576652954e+00;1.0585622591e+00;1.0586073682e+00;1.0585140413e+00;1.0591680618e+00;1.0610061499e+00;1.0604865330e+00;1.0607012768e+00;1.0615825162e+00;1.0621795766e+00;1.0628300194e+00;1.0642890395e+00;1.0635595076e+00;1.0647515064e+00;1.0655393668e+00;1.0647770055e+00;1.0659789002e+00;1.0665783604e+00;1.0665343680e+00;1.0662995972e+00
1.2800000000e-05;1.0573197774e+00;1.0577474061e+00;1.0574106909e+00;1.0590215275e+00;1.0590005340e+00;1.0599993535e+00;1.0596274185e+00;1.0593701097e+00;1.0599657596e+00;1.0613870309e+00;1.0622255430e+00;1.0631614031e+00;1.0635308601e+00;1.0648700858e+00;1.0643881343e+00;1.0640241894e+00;1.0656038260e+00;1.0655017900e+00;1.0659463437e+00;1.0652773137e+00
1.4400000000e-05;1.0556630244e+00;1.0563304124e+00;1.0563468448e+00;1.0570288573e+00;1.0574432907e+00;1.0586374223e+00;1.0588059620e+00;1.0588427755e+00;1.0595569882e+00;1.0607996884e+00;1.0611845595e+00;1.0622230430e+00;1.0618504056e+00;1.0627683111e+00;1.0635958077e+00;1.0627045062e+00;1.0642693712e+00;1.0645875734e+00;1.0646229030e+00;1.0644458647e+00
1.6000000000e-05;1.0553109260e+00;1.0558792710e+00;1.0553764446e+00;1.0565400548e+00;1.0566855446e+00;1.0580442690e+00;1.0581620840e+00;1.0583053131e+00;1.0586294042e+00;1.0592061983e+00;1.0600635646e+00;1.0604584237e+00;1.0599431192e+00;1.0618804642e+00;1.0620264489e+00;1.0619766349e+00;1.0628476530e+00;1.0636004405e+00;1.0634671825e+00;1.0634684848e+00
1.7600000000e-05;1.0538720083e+00;1.0546468736e+00;1.0545939162e+00;1.0557326734e+00;1.0553350359e+00;1.0572134084e+00;1.0574806879e+00;1.0572177044e+00;1.0578857025e+00;1.0580568018e+00;1.0594164979e+00;1.0597457861e+00;1.0597663917e+00;1.0604159830e+00;1.0607715990e+00;1.0610315007e+00;1.0618980541e+00;1.0622184709e+00;1.0630670817e+00;1.0627650038e+00
1.9200000000e-05;1.0532875738e+00;1.0539459634e+00;1.0539329709e+00;1.0548420433e+00;1.0549237982e+00;1.0562428280e+00;1.0556002506e+00;1.0562433752e+00;1.0569636946e+00;1.0570037870e+00;1.0583405796e+00;1.0590645467e+00;1.0582434133e+00;1.0597443278e+00;1.0594407377e+00;1.0598073267e+00;1.0612001847e+00;1.0607250160e+00;1.0614350548e+00;1.0611721016e+00
2.0800000000e-05;1.0524470032e+00;1.0535613651e+00;1.0535103033e+00;1.0537456319e+00;1.0543755302e+00;1.0554234200e+00;1.0550947785e+00;1.0555842167e+00;1.0561840648e+00;1.0573264160e+00;1.0574264065e+00;1.0577286875e+00;1.0574674422e+00;1.0587633101e+00;1.0589625673e+00;1.0585929115e+00;1.0603360760e+00;1.0601561381e+00;1.0603397418e+00;1.0605159653e+00
