;03_DM100_2_1_1_1;03_DM100_2_2_1_1;03_DM100_2_3_1_1;03_DM100_2_4_1_1;03_DM100_2_5_1_1;03_DM100_2_6_1_1;03_DM100_2_7_1_1;03_DM100_2_8_1_1;03_DM100_2_9_1_1;03_DM100_2_10_1_1;03_DM100_2_11_1_1;03_DM100_2_12_1_1;03_DM100_2_13_1_1;03_DM100_2_14_1_1;03_DM100_2_15_1_1;03_DM100_2_16_1_1;03_DM100_2_17_1_1;03_DM100_2_18_1_1
8.0000000000e-06;1.0240285021e+00;1.0241220989e+00;1.0242868759e+00;1.0242495707e+00;1.0242450268e+00;1.0242739477e+00;1.0247646995e+00;1.0240489115e+00;1.0252671949e+00;1.0250033733e+00;1.0246122144e+00;1.0247876861e+00;1.0246011064e+00;1.0242539924e+00;1.0245029606e+00;1.0244160203e+00;1.0244874264e+00;1.0241080324e+00
8.8000000000e-06;1.0236087414e+00;1.0239007556e+00;1.0239590985e+00;1.0242290007e+00;1.0238406448e+00;1.0242008627e+00;1.0241362930e+00;1.0241590213e+00;1.0248926749e+00;1.0246959913e+00;1.0241353217e+00;1.0242761201e+00;1.0239826286e+00;1.0241419543e+00;1.0241219162e+00;1.0238925485e+00;1.0243695173e+00;1.0236469978e+00
9.6000000000e-06;1.0234625293e+00;1.0238648222e+00;1.0237134868e+00;1.0240267943e+00;1.0234344371e+00;1.0239938964e+00;1.0241966494e+00;1.0239862277e+00;1.0242985781e+00;1.0244751852e+00;1.0239919849e+00;1.0241611010e+00;1.0237980713e+00;1.0237359894e+00;1.0236916212e+00;1.0238990439e+00;1.0239804262e+00;1.0236258036e+00
1.0400000000e-05;1.0232234703e+00;1.0232118375e+00;1.0233561249e+00;1.0235883833e+00;1.0235799196e+00;1.0238073745e+00;1.0237939208e+00;1.0238149777e+00;1.0243122691e+00;1.0243079140e+00;1.0237808493e+00;1.0235514851e+00;1.0237114557e+00;1.0234697493e+00;1.0234746349e+00;1.0235507759e+00;1.0236118885e+00;1.0232384143e+00
1.1200000000e-05;1.0228804610e+00;1.0230736406e+00;1.0234364931e+00;1.0233132800e+00;1.0231704988e+00;1.0235225077e+00;1.0232343587e+00;1.0237319451e+00;1.0238998090e+00;1.0243006992e+00;1.0236027994e+00;1.0232738093e+00;1.0230737151e+00;1.0235448875e+00;1.0236235156e+00;1.0233655249e+00;1.0234504922e+00;1.0232971207e+00
1.2000000000e-05;1.0228404557e+00;1.0229908856e+00;1.0228787403e+00;1.0232492557e+00;1.0230627578e+00;1.0231665528e+00;1.0234631549e+00;1.0233539422e+00;1.0240531090e+00;1.0240576605e+00;1.0235685873e+00;1.0232698802e+00;1.0234132060e+00;1.0231022792e+00;1.0232192844e+00;1.0229876648e+00;1.0232448785e+00;1.0227144019e+00
1.2800000000e-05;1.0224673544e+00;1.0226917377e+00;1.0225637713e+00;1.0230507988e+00;1.0222851840e+00;1.0233084152e+00;1.0229962453e+00;1.0230566582e+00;1.0238834965e+00;1.0237698231e+00;1.0231462694e+00;1.0231450703e+00;1.0233062877e+00;1.0230005131e+00;1.0230260589e+00;1.0229772846e+00;1.0230852003e+00;1.0229710013e+00
1.4400000000e-05;1.0219325962e+00;1.0223819623e+00;1.0223904271e+00;1.0227158155e+00;1.0223367325e+00;1.0226947273e+00;1.0227049452e+00;1.0226201884e+00;1.0232229714e+00;1.0232108880e+00;1.0227780181e+00;1.0227860564e+00;1.0225832736e+00;1.0226795450e+00;1.0226222485e+00;1.0227501717e+00;1.0225913941e+00;1.0222247203e+00
1.6000000000e-05;1.0216672028e+00;1.0221849895e+00;1.0221301619e+00;1.0221800227e+00;1.0218709516e+00;1.0223511889e+00;1.0221727941e+00;1.0223171087e+00;1.0231366346e+00;1.0229468293e+00;1.0225333989e+00;1.0225726148e+00;1.0220897461e+00;1.0223594202e+00;1.0221490890e+00;1.0220520732e+00;1.0225547173e+00;1.0219609174e+00
1.7600000000e-05;1.0215581624e+00;1.0216532043e+00;1.0216459125e+00;1.0220169681e+00;1.0216077095e+00;1.0221398863e+00;1.0219247710e+00;1.0218050929e+00;1.0224732718e+00;1.0226920246e+00;1.0221253296e+00;1.0221169448e+00;1.0220331605e+00;1.0217826522e+00;1.0219828124e+00;1.0219667372e+00;1.0221324202e+00;1.0217494484e+00
1.9200000000e-05;1.0210959913e+00;1.0213520841e+00;1.0213626630e+00;1.0216283306e+00;1.0212955180e+00;1.0215650958e+00;1.0217018706e+00;1.0218008749e+00;1.0224044367e+00;1.0224067969e+00;1.0215510350e+00;1.0217529437e+00;1.0216642024e+00;1.0214366453e+00;1.0218162003e+00;1.0213966000e+00;1.0219596977e+00;1.0214405271e+00
2.0800000000e-05;1.0207613327e+00;1.0212893046e+00;1.0213052691e+00;1.0212204725e+00;1.0209932982e+00;1.0215054617e+00;1.0212776774e+00;1.0212485994e+00;1.0220830284e+00;1.0220486590e+00;1.0213055598e+00;1.0215520658e+00;1.0213104035e+00;1.0211302241e+00;1.0214105155e+00;1.0213224505e+00;1.0214575027e+00;1.0210863696e+00
